schema-version, 2
type, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, bundleName, size, minSize, gzipSize, brSize
module, test-support.js, addon-test-support/ember-test-helpers/legacy-0-6-x/-legacy-overrides.js, 2929, 1707, 443, 385, 0.0097, 748, 625
module, test-support.js, addon-test-support/ember-test-helpers/legacy-0-6-x/abstract-test-module.js, 5449, 3362, 872, 759, 0.019, 1076, 900
module, test-support.js, addon-test-support/ember-test-helpers/legacy-0-6-x/build-registry.js, 4777, 2084, 541, 470, 0.0118, 899, 801
module, test-support.js, addon-test-support/ember-test-helpers/legacy-0-6-x/ext/rsvp.js, 1185, 472, 122, 107, 0.0027, 290, 236
module, test-support.js, addon-test-support/ember-test-helpers/legacy-0-6-x/test-module-for-acceptance.js, 1020, 617, 160, 139, 0.0035, 358, 288
module, test-support.js, addon-test-support/ember-test-helpers/legacy-0-6-x/test-module-for-component.js, 11169, 5954, 1544, 1344, 0.0337, 2081, 1807
module, test-support.js, addon-test-support/ember-test-helpers/legacy-0-6-x/test-module-for-model.js, 2222, 1048, 272, 237, 0.0059, 522, 441
module, test-support.js, addon-test-support/ember-test-helpers/legacy-0-6-x/test-module.js, 8443, 4691, 1217, 1059, 0.0265, 1554, 1368
module, test-support.js, addon-test-support/ember-test-helpers/wait.js, 2000, 759, 197, 171, 0.0043, 396, 342
module, test-support.js, addon-test-support/qunit/index.js, 591, 323, 84, 73, 0.0018, 213, 188
module, test-support.js, vendor/ember-cli/test-support-suffix.js, 88, 69, 18, 16, 0.0004, 73, 61
module, vendor.js, vendor/ember-cli/vendor-prefix.js, 266, 171, 45, 37, 0.0002, 167, 142
module, vendor.js, vendor/loader/loader.js, 8964, 4355, 1146, 945, 0.0053, 1631, 1491
module, vendor.js, vendor/ember/ember.js, 1885579, 542575, 142793, 117712, 0.6664, 147222, 123203
module, vendor.js, vendor/ember-fetch.js, 23687, 10884, 2864, 2361, 0.0134, 3715, 3261
module, vendor.js, addon-tree-output/@ember-data/adapter/-private.js, 17496, 3831, 1008, 831, 0.0047, 1628, 1423
module, vendor.js, addon-tree-output/@ember-data/adapter/error.js, 11641, 1799, 473, 390, 0.0022, 739, 618
module, vendor.js, addon-tree-output/@ember-data/adapter/index.js, 21393, 719, 189, 156, 0.0009, 372, 315
module, vendor.js, addon-tree-output/@ember-data/adapter/json-api.js, 6523, 830, 218, 180, 0.001, 474, 405
module, vendor.js, addon-tree-output/@ember-data/adapter/rest.js, 42901, 7968, 2097, 1729, 0.0098, 3157, 2784
module, vendor.js, addon-tree-output/@ember-data/adapter/version.js, 252, 163, 43, 35, 0.0002, 157, 126
module, vendor.js, addon-tree-output/@ember-data/canary-features/default-features.js, 918, 307, 81, 67, 0.0004, 243, 187
module, vendor.js, addon-tree-output/@ember-data/canary-features/index.js, 1484, 824, 217, 179, 0.001, 423, 345
module, vendor.js, addon-tree-output/@ember-data/model/-private.js, 17600, 4952, 1303, 1074, 0.0061, 1473, 1219
module, vendor.js, addon-tree-output/@ember-data/model/index.js, 779, 517, 136, 112, 0.0006, 226, 186
module, vendor.js, addon-tree-output/@ember-data/model/version.js, 250, 161, 42, 35, 0.0002, 156, 124
module, vendor.js, addon-tree-output/@ember-data/serializer/-private.js, 30779, 5760, 1516, 1250, 0.0071, 1802, 1629
module, vendor.js, addon-tree-output/@ember-data/serializer/index.js, 4451, 243, 64, 53, 0.0003, 195, 175
module, vendor.js, addon-tree-output/@ember-data/serializer/json-api.js, 19102, 6256, 1646, 1357, 0.0077, 2117, 1831
module, vendor.js, addon-tree-output/@ember-data/serializer/json.js, 46727, 7808, 2055, 1694, 0.0096, 2286, 2052
module, vendor.js, addon-tree-output/@ember-data/serializer/rest.js, 25035, 3729, 981, 809, 0.0046, 1569, 1384
module, vendor.js, addon-tree-output/@ember-data/serializer/transform.js, 359, 215, 57, 47, 0.0003, 175, 133
module, vendor.js, addon-tree-output/@ember-data/serializer/version.js, 255, 166, 44, 36, 0.0002, 159, 129
module, vendor.js, addon-tree-output/@ember-data/store/-debug/index.js, 2591, 687, 181, 149, 0.0008, 418, 359
module, vendor.js, addon-tree-output/@ember-data/store/-private.js, 525315, 164809, 43374, 35755, 0.2024, 40851, 34065
module, vendor.js, addon-tree-output/@ember-data/store/index.js, 1340, 936, 246, 203, 0.0011, 270, 227
module, vendor.js, addon-tree-output/@ember-data/store/version.js, 250, 161, 42, 35, 0.0002, 156, 124
module, vendor.js, addon-tree-output/@ember/ordered-set/index.js, 3562, 1193, 314, 259, 0.0015, 567, 484
module, vendor.js, addon-tree-output/ember-cli-app-version/initializer-factory.js, 545, 285, 75, 62, 0.0004, 231, 207
module, vendor.js, addon-tree-output/ember-cli-app-version/utils/regexp.js, 682, 252, 66, 55, 0.0003, 197, 176
module, vendor.js, addon-tree-output/ember-data/-private.js, 9987, 3981, 1048, 864, 0.0049, 1247, 1077
module, vendor.js, addon-tree-output/ember-data/adapter.js, 324, 226, 59, 49, 0.0003, 170, 128
module, vendor.js, addon-tree-output/ember-data/adapters/errors.js, 1806, 1222, 322, 265, 0.0015, 304, 254
module, vendor.js, addon-tree-output/ember-data/adapters/json-api.js, 343, 245, 64, 53, 0.0003, 179, 150
module, vendor.js, addon-tree-output/ember-data/adapters/rest.js, 329, 237, 62, 51, 0.0003, 175, 143
