schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/utils.js, 6826, 2061, 532, 447, 0.0042, 1083, 949
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/index.js, 6409, 4254, 1097, 923, 0.0087, 683, 590
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/compare.js, 4023, 1041, 269, 226, 0.0021, 532, 470
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/copy.js, 3492, 887, 229, 193, 0.0018, 478, 417
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/ext/function.js, 6221, 760, 196, 165, 0.0015, 333, 261
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/ext/rsvp.js, 1716, 841, 217, 183, 0.0017, 466, 395
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/is-equal.js, 1875, 304, 78, 66, 0.0006, 222, 180
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/-proxy.js, 3465, 1322, 341, 287, 0.0027, 673, 582
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/action_handler.js, 6457, 526, 136, 114, 0.0011, 345, 295
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/array.js, 29708, 6992, 1804, 1518, 0.0142, 2183, 1970
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/comparable.js, 1174, 241, 62, 52, 0.0005, 191, 157
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/container_proxy.js, 4565, 638, 165, 138, 0.0013, 353, 307
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/copyable.js, 1141, 236, 61, 51, 0.0005, 189, 160
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/enumerable.js, 664, 227, 59, 49, 0.0005, 184, 153
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/evented.js, 4579, 598, 154, 130, 0.0012, 334, 277
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/mutable_enumerable.js, 749, 296, 76, 64, 0.0006, 201, 169
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/observable.js, 17601, 1406, 363, 305, 0.0029, 535, 463
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/promise_proxy.js, 5567, 1128, 291, 245, 0.0023, 511, 439
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/registry_proxy.js, 8202, 713, 184, 155, 0.0015, 355, 301
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/mixins/target_action_support.js, 4919, 1080, 279, 234, 0.0022, 502, 437
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/system/array_proxy.js, 11576, 3593, 927, 780, 0.0073, 1098, 967
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/system/core_object.js, 37566, 4594, 1185, 997, 0.0094, 1801, 1618
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/system/namespace.js, 2148, 970, 250, 211, 0.002, 474, 432
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/system/object.js, 4000, 1272, 328, 276, 0.0026, 548, 461
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/system/object_proxy.js, 2845, 439, 113, 95, 0.0009, 271, 219
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/runtime/lib/type-of.js, 4123, 749, 193, 163, 0.0015, 407, 346
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/utils/index.js, 22954, 5115, 1319, 1110, 0.0104, 2023, 1852
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/index.js, 5662, 3738, 964, 811, 0.0076, 647, 554
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/compat/attrs.js, 344, 242, 62, 53, 0.0005, 198, 165
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/compat/fallback-view-registry.js, 339, 243, 63, 53, 0.0005, 200, 158
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/component_lookup.js, 672, 383, 99, 83, 0.0008, 245, 207
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/mixins/action_support.js, 6264, 984, 254, 214, 0.002, 551, 476
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/mixins/child_views_support.js, 868, 450, 116, 98, 0.0009, 292, 250
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/mixins/class_names_support.js, 3388, 414, 107, 90, 0.0008, 279, 226
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/mixins/text_support.js, 11488, 1693, 437, 368, 0.0035, 780, 651
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/mixins/view_state_support.js, 712, 384, 99, 83, 0.0008, 257, 214
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/mixins/view_support.js, 14824, 1725, 445, 374, 0.0035, 759, 637
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/system/action_manager.js, 426, 198, 51, 43, 0.0004, 178, 133
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/system/event_dispatcher.js, 16624, 4305, 1110, 935, 0.0088, 1806, 1557
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/system/jquery.js, 1319, 694, 179, 151, 0.0014, 399, 345
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/system/jquery_event_deprecation.js, 3267, 301, 78, 65, 0.0006, 215, 169
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/system/lookup_partial.js, 1835, 887, 229, 193, 0.0018, 432, 353
