schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/container_proxy.js, 4565, 638, 165, 138, 0.0013, 353, 307
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/copyable.js, 1141, 236, 61, 51, 0.0005, 189, 160
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/enumerable.js, 664, 227, 59, 49, 0.0005, 184, 153
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/evented.js, 4579, 598, 154, 130, 0.0012, 334, 277
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/mutable_enumerable.js, 749, 296, 76, 64, 0.0006, 201, 169
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/observable.js, 17601, 1406, 363, 305, 0.0029, 535, 463
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/promise_proxy.js, 5567, 1128, 291, 245, 0.0023, 511, 439
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/registry_proxy.js, 8202, 713, 184, 155, 0.0015, 355, 301
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/target_action_support.js, 4919, 1080, 279, 234, 0.0022, 502, 437
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/system/array_proxy.js, 11576, 3593, 927, 780, 0.0073, 1098, 967
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/system/core_object.js, 37566, 4594, 1185, 997, 0.0094, 1801, 1618
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/system/namespace.js, 2148, 970, 250, 211, 0.002, 474, 432
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/system/object.js, 4000, 1272, 328, 276, 0.0026, 548, 461
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/system/object_proxy.js, 2845, 439, 113, 95, 0.0009, 271, 219
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/type-of.js, 4123, 749, 193, 163, 0.0015, 407, 346
module, experiment: drop ie11, ember.js, @ember/-internals/utils/index.js, 22954, 5115, 1319, 1110, 0.0104, 2023, 1852
module, experiment: drop ie11, ember.js, @ember/-internals/views/index.js, 5662, 3738, 964, 811, 0.0076, 647, 554
